SimTime,Lat,Lon,Alt,qw,qx,qy,qz,Vx,Vy,Vz
142.86,39.4786407,-0.34632959999999996,50.5,0.7,0.0,-0.0,0.7,-0.04,-0.08,-0.75
142.9,39.4786407,-0.34632959999999996,50.51,0.7,0.0,-0.0,0.7,-0.03,-0.08,-0.76
142.93,39.4786407,-0.34632969999999996,50.54,0.7,0.0,-0.0,0.7,-0.03,-0.08,-0.77
142.96,39.4786407,-0.34632969999999996,50.58,0.7,0.0,-0.0,0.7,-0.03,-0.07,-0.78
142.99,39.4786407,-0.34632969999999996,50.59,0.7,0.0,-0.0,0.7,-0.03,-0.07,-0.79
143.02,39.4786407,-0.34632969999999996,50.62,0.7,0.0,-0.0,0.7,-0.02,-0.07,-0.8
143.06,39.4786406,-0.34632969999999996,50.65,0.7,0.0,-0.0,0.7,-0.02,-0.06,-0.81
143.1,39.4786406,-0.34632979999999997,50.67,0.7,0.0,-0.0,0.7,-0.02,-0.06,-0.82
143.13,39.4786406,-0.34632979999999997,50.71,0.7,0.0,-0.0,0.7,-0.01,-0.06,-0.83
143.16,39.4786406,-0.34632979999999997,50.74,0.7,0.0,-0.0,0.7,-0.01,-0.05,-0.84
143.19,39.4786406,-0.34632979999999997,50.75,0.7,0.0,-0.0,0.7,-0.01,-0.05,-0.85
143.22,39.4786406,-0.34632979999999997,50.79,0.7,0.0,-0.0,0.7,-0.01,-0.05,-0.86
143.26,39.4786406,-0.34632979999999997,50.83,0.7,0.0,-0.0,0.7,-0.0,-0.04,-0.87
143.3,39.4786406,-0.34632979999999997,50.85,0.7,0.0,-0.0,0.7,-0.0,-0.04,-0.88
143.33,39.4786406,-0.34632979999999997,50.89,0.7,0.0,-0.0,0.7,0.0,-0.04,-0.9
143.36,39.4786405,-0.34632979999999997,50.92,0.7,0.0,-0.0,0.7,0.0,-0.04,-0.91
143.39,39.4786405,-0.34632989999999997,50.94,0.7,0.0,-0.0,0.7,0.0,-0.03,-0.91
143.42,39.4786405,-0.34632989999999997,50.98,0.7,0.0,-0.0,0.7,0.01,-0.03,-0.92
143.46,39.4786405,-0.34632989999999997,51.02,0.7,0.0,-0.0,0.7,0.01,-0.03,-0.94
143.5,39.4786405,-0.34632989999999997,51.04,0.7,0.0,-0.0,0.7,0.01,-0.02,-0.95
143.53,39.4786405,-0.34632989999999997,51.08,0.7,0.0,-0.0,0.7,0.01,-0.02,-0.95
143.56,39.4786405,-0.34632989999999997,51.12,0.7,0.0,-0.0,0.7,0.02,-0.02,-0.96
143.59,39.4786405,-0.34632989999999997,51.13,0.7,0.0,-0.0,0.7,0.02,-0.01,-0.97
143.62,39.4786405,-0.34632989999999997,51.18,0.7,0.0,-0.0,0.7,0.02,-0.01,-0.98
143.66,39.4786405,-0.34632989999999997,51.22,0.7,0.0,-0.0,0.7,0.02,-0.01,-0.99
143.7,39.4786405,-0.34632989999999997,51.24,0.7,0.0,-0.0,0.7,0.02,-0.0,-1.0
143.73,39.4786405,-0.34632979999999997,51.28,0.7,0.0,-0.0,0.7,0.03,-0.0,-1.01
143.76,39.4786405,-0.34632979999999997,51.33,0.7,0.0,-0.0,0.7,0.03,0.0,-1.02
143.79,39.4786405,-0.34632979999999997,51.34,0.7,0.0,-0.0,0.7,0.03,0.0,-1.02
143.82,39.4786405,-0.34632979999999997,51.39,0.7,0.0,-0.0,0.7,0.03,0.0,-1.03
143.86,39.4786405,-0.34632979999999997,51.43,0.7,0.0,-0.0,0.7,0.03,0.01,-1.04
143.9,39.4786405,-0.34632979999999997,51.46,0.7,0.0,-0.0,0.7,0.04,0.01,-1.05
143.93,39.4786405,-0.34632979999999997,51.5,0.7,0.0,-0.0,0.7,0.04,0.01,-1.06
143.96,39.4786405,-0.34632979999999997,51.54,0.7,0.0,-0.0,0.7,0.04,0.01,-1.06
143.99,39.4786405,-0.34632979999999997,51.56,0.7,0.0,-0.0,0.7,0.04,0.01,-1.07
144.02,39.4786405,-0.34632969999999996,51.61,0.7,0.0,-0.0,0.7,0.04,0.01,-1.08
144.06,39.4786405,-0.34632969999999996,51.65,0.7,0.0,-0.0,0.7,0.04,0.01,-1.09
144.1,39.4786405,-0.34632969999999996,51.68,0.7,0.0,-0.0,0.7,0.04,0.02,-1.09
144.13,39.4786405,-0.34632969999999996,51.73,0.7,0.0,-0.0,0.7,0.04,0.02,-1.1
144.16,39.4786405,-0.34632959999999996,51.77,0.7,0.0,-0.0,0.7,0.04,0.02,-1.11
144.19,39.4786405,-0.34632959999999996,51.79,0.7,0.0,-0.0,0.7,0.05,0.02,-1.12
144.22,39.4786405,-0.34632959999999996,51.84,0.7,0.0,-0.0,0.7,0.05,0.02,-1.12
144.26,39.4786405,-0.34632959999999996,51.89,0.7,0.0,-0.0,0.7,0.05,0.02,-1.13
144.3,39.4786405,-0.34632959999999996,51.91,0.7,0.0,-0.0,0.7,0.05,0.02,-1.14
144.33,39.4786405,-0.34632959999999996,51.96,0.7,0.0,-0.0,0.7,0.05,0.02,-1.14
144.36,39.4786406,-0.34632949999999996,52.01,0.7,0.0,-0.0,0.7,0.05,0.02,-1.15
144.39,39.4786406,-0.34632949999999996,52.03,0.7,0.0,-0.0,0.7,0.05,0.02,-1.15
144.42,39.4786406,-0.34632949999999996,52.08,0.7,0.0,-0.0,0.7,0.05,0.02,-1.16
144.46,39.4786406,-0.34632949999999996,52.13,0.7,0.0,-0.0,0.7,0.05,0.02,-1.17
144.5,39.4786406,-0.34632949999999996,52.16,0.7,0.0,-0.0,0.7,0.05,0.02,-1.17
